trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.1, 'e': 0.5913954351833187}",25,0,-27.813575584798205,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.5795675264796523}",25,0,-96.53261730922783,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.5679761759500592}",25,10,-40.72118715413856,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.5566166524310581}",30,4,-62.465959338149645,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 1}",1
30,False,"{'a': 0.1, 'e': 0.5454843193824369}",20,0,-83.313714611276,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.5345746329947881}",25,0,-52.24076071116923,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.5238831403348924}",20,0,-86.29452748162765,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.5134054775281945}",30,0,-165.1751602050923,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.5031373679776306}",30,0,-67.93891598204459,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.493074620618078}",20,0,-1.4772171696487775,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.48321312820571644}",30,0,-117.95739226346224,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.4735488656416021}",20,2,-74.89970166228517,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.1, 'e': 0.46407788832877}",25,1,-17.25419014370603,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.1, 'e': 0.45479633056219465}",20,0,-24.629596229259775,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
